Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Kalimantan Timur,2022,813447.68,984037.85,1797485.53,3014497.0,6.24,65.475,238916.99,131238.63,6.31,0.45,0.322,77.44,745355.5,3803.5,1.4,30.0,108.1,1.41,87.14,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.885,3352990.0,126.07333333333332,82.37,90.33,55.74,9.92,39595.6
Kalimantan Utara,2022,758431.1,811754.88,1570185.98,3016738.0,4.475,66.07,192588.32,92392.97,6.77,0.45,0.271,71.83,777419.75,710.0,0.26,10.0,111.3,2.1,89.96,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.745,189091.0,109.00750000000001,78.62,82.22,51.0,9.27,7526.4
Kepulauan Bangka Belitung,2022,881622.45,772658.08,1654280.53,3264884.0,4.475,68.77,63865.51,38743.13,4.45,0.45,0.2455,72.24,828699.75,1471.8,0.54,90.0,105.6,1.52,80.96,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.515,1160091.0,126.085,73.16,91.63,50.37,8.11,6309.0
Kepulauan Riau,2022,846221.75,985478.65,1831700.4,3050172.0,8.125,67.71,145530.48,89612.57,6.24,0.45,0.3335,76.46,694383.25,2089.9,0.79,264.0,104.2,3.15,91.82,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.97,1137520.0,106.80666666666666,79.88,87.74,63.68,10.37,4817.4
Lampung,2022,575672.68,499314.76,1074987.43,2440486.0,4.415,71.285,44982.4,27973.81,11.57,0.45,0.3135,70.45,543060.25,4438.6,3.33,273.0,104.9,1.07,81.6,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.76,3921375.0,104.34416666666665,66.08,83.65,28.49,8.18,5809.2
Maluku,2022,589485.16,580343.17,1169828.33,2619313.0,6.66,64.27,28536.54,17717.1,15.97,0.45,0.3035,70.22,652845.5,1869.5,0.68,41.0,102.5,1.01,92.1,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.99,347614.0,104.85333333333331,63.85,76.47,36.7,10.19,611.0
Maluku Utara,2022,585162.43,543423.92,1128586.35,2862231.0,4.48,65.795,53776.27,30526.49,6.23,0.45,0.29400000000000004,69.47,537878.25,1299.6,0.48,40.0,104.8,1.61,88.1,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.07,326767.0,106.44749999999999,61.58,79.39,34.37,9.24,3414.9
Nusa Tenggara Barat,2022,666966.05,493696.03,1160662.07,2207212.0,3.405,70.59,28670.72,18647.1,13.68,0.45,0.3735,69.46,474701.5,5387.2,1.98,278.0,100.4,1.64,95.4,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.5300000000000002,2007385.0,105.70416666666665,61.11,83.12,24.64,7.61,11031.5
Nusa Tenggara Timur,2022,480749.17,403352.91,884102.08,1975000.0,3.42,74.445,21657.61,13264.15,20.05,0.45,0.337,65.9,509344.75,5394.4,1.98,118.0,100.0,1.5,86.76,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,3.685,993662.0,95.41166666666665,52.73,73.7,24.76,7.7,3459.3
Papua,2022,858106.47,596214.24,1454320.71,3561932.0,3.215,78.99,59383.62,39112.71,26.56,0.45,0.3995,71.76,663610.5,4356.8,1.6,14.0,113.5,1.52,65.39,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,6.720000000000001,493237.0,100.13,35.33,40.34,15.89,7.02,1311.8
